tconst	averageRating	numVotes
tt1345206	7.6	5
tt1228890	8.6	44
tt0230835	6.5	67
tt5721646	7.9	11
tt0519564	7.1	301
tt10296498	7.5	11
tt0657327	7.8	152
tt5291026	7.6	8
tt1373457	7.2	8
tt2772780	7.4	22
tt2364852	5.1	8
tt5941228	8.8	13
tt1128204	4.8	35
tt1206297	4.4	5
tt6044656	6.2	8
tt0270069	6.5	6
tt2337387	6.6	168
tt7087228	7.1	109
tt2653344	7.9	249
tt3788106	6.5	15
tt8862322	7.8	23
tt8925958	6.5	30
tt0748563	6.8	60
tt6072034	7.9	18
tt1010445	3.7	1230
tt0395193	3.3	31
tt1593714	6.9	27
tt4950264	7.1	17
tt2664744	7.2	6
tt8860816	5.9	9
tt0971112	5.8	5
tt2534670	8.6	505
tt0467529	6.2	6
tt1494798	4.0	334
tt6728380	6.1	9
tt4175172	9.3	9
tt7374394	7.1	46
tt1785144	8.0	100
tt0680043	8.8	17
tt2798754	5.8	13
tt0297798	8.6	5
tt6693388	8.5	1271
tt6108526	7.8	93
tt1935918	4.7	51
tt5115676	7.3	115
tt1695138	6.0	20
tt10121142	6.0	5
tt1943034	5.1	36
tt7926910	6.2	5
tt1505490	8.2	57
tt7122088	8.5	40
tt1612236	8.2	5
tt0531417	7.5	6
tt1116981	6.1	9
tt0173691	5.2	6
tt0072621	7.8	10
tt9158782	8.3	167
tt2906010	9.8	38
tt6428332	7.2	6
tt4851852	5.5	329
tt6654268	6.7	72
tt5356216	7.0	7
tt0123984	6.4	15
tt0408222	5.9	45
tt6335560	6.6	133
tt5524714	8.7	6
tt0759042	8.7	135
tt0732114	9.0	23
tt0119118	8.0	25
tt6340126	4.8	32
tt0287112	6.8	139
tt0421011	8.7	18
tt1542678	5.2	59
tt0625365	7.8	68
tt1469208	7.8	9
tt0944745	7.4	5
tt3240606	8.0	5
tt5548240	6.9	11
tt9060844	7.1	115
tt0277425	6.2	31
tt0436218	7.2	77
tt5795824	8.2	10
tt5097760	7.5	8
tt0427413	6.1	7
tt0509508	8.0	7
tt6397900	8.0	9
tt0224025	4.1	993
tt9153334	7.0	20
tt0098838	7.2	113
tt0674565	7.2	13
tt0331953	5.7	27324
tt0017502	7.0	9
tt0921438	7.1	7
tt0215094	4.6	5
tt4506768	8.4	463
tt3515118	7.0	5
tt0214005	5.8	307
tt1929849	6.6	5
tt4405806	6.2	5
tt1237356	7.3	65
tt2121768	5.1	75
tt0035112	6.4	289
tt2959824	8.8	6
tt3788214	6.2	11
tt0352638	8.6	26
tt1337664	8.0	10
tt0666357	6.6	5
tt0518019	7.8	24
tt4910814	6.7	6
tt1192545	6.1	20
tt1858476	5.3	69
tt8754634	7.6	7
tt1948470	7.2	33
tt1492083	7.7	6
tt10474518	5.3	9
tt0653562	7.8	191
tt0130923	6.0	20
tt0120885	7.2	76027
tt5213908	8.4	747
tt1699158	9.1	30
tt1512321	5.4	334
tt8359714	6.9	144
tt1003227	6.8	19
tt0067491	5.7	1269
tt1456776	7.8	167
tt5970946	7.2	9
tt1433172	6.7	14
tt0068853	7.0	6841
tt6533002	7.9	8
tt0384819	6.8	14016
tt1633215	7.6	5
tt6259426	8.0	16
tt5628322	7.4	119
tt4981806	6.2	5
tt2045166	7.6	5
tt0421455	7.3	63
tt5866066	7.3	37
tt0194421	7.2	11
tt0310953	8.4	17
tt1135710	8.5	111
tt1751394	7.2	8
tt0631749	8.0	24
tt0416364	7.4	28
tt1138050	5.2	17
tt0651891	7.9	15
tt9787732	7.5	37
tt0293442	6.0	181
tt0524574	6.9	22
tt1577766	6.4	388
tt1705038	7.0	887
tt9777658	8.8	6
tt0279549	4.8	5
tt1310394	6.1	12
tt0031983	6.9	2147
tt1445517	7.9	14
tt4747938	10.0	6
tt9685264	6.9	223
tt2032539	4.3	11
tt0743106	9.0	7
tt7039012	5.7	7
tt0342207	4.3	419
tt7130740	5.7	394
tt0416883	4.2	27
tt0094332	6.5	58382
tt0839082	8.1	31
tt0685209	7.6	54
tt0572241	7.5	915
tt0100593	5.6	58
tt1974576	4.6	5
tt1289493	9.3	10
tt1948914	7.3	10
tt11376936	9.8	5
tt0907467	7.7	62
tt0833070	7.8	5
tt2199834	8.5	11
tt3159738	5.1	360
tt0200211	3.3	296
tt9235006	7.8	9
tt8141890	6.8	6
tt0658005	7.7	515
tt0111135	7.0	127
tt6128764	6.6	7
tt2798208	8.0	5
tt8780788	7.5	8
tt1298754	9.4	5
tt2935026	8.0	11
tt5135554	6.0	6
tt1013715	6.7	15
tt1443246	8.0	8
tt0078045	6.2	41
tt0937977	7.4	9
tt0067416	7.0	7
tt1676214	8.2	18
tt2351157	6.6	23
tt0334821	5.9	8
tt4776696	8.7	1074
tt1339713	8.0	178
tt3488220	6.8	25
tt0336612	3.1	61
tt2372991	7.6	628
tt0118695	7.7	24
tt2880018	7.6	8
tt3875934	7.3	7
tt0138561	6.9	19
tt0159762	7.4	17
tt3460758	8.3	10
tt4661358	7.0	2469
tt0054786	7.4	31
tt5128348	7.6	8
tt2565132	8.4	48
tt1659192	6.1	904
tt0089427	4.8	341
tt2060103	7.2	6
tt0245961	5.2	162
tt0792720	6.8	11
tt1795992	7.3	11
tt1111404	7.0	5
tt2494140	9.1	11
tt0790761	5.7	75
tt1173378	7.9	262
tt0727761	5.2	5
tt1765782	8.2	234
tt0165789	8.9	451
